wl,f198,f207,f464,f465,f441,f442,f423,f420,f413,f406,f397,f395,f394,f393,f384,f367,f366,f354,f347,f342,f334,f328,f330,f305,f240,f212,f252,f274,f299,f284,m32m,m214,m203,m187,m175,m112,m78m,m452,m455,m440,m425,m412,m411,m409,m407,m404,m359,m357,m326,m320,m315,m308,m304,m265,m262,m250,m232,m231,m223,m215
179.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.37,312.821,16.239,281.818,16.346,-64.151,106.452,-40,44.118,0,202.5,29.73,35.065,174.074,307.407,-113.636,41.429,-1860,162.5,260,91.837,131.522,55.967,146.552,1450,56.701,-131.429,83.333,-8.491,-1350,24.742,76.923,139.623,86.034,243.902,54,7.895,148.571,-900,60,-29.703,-162,-637.5,64.615,4,-352.941,21.912,100,39.583,-10.924,-900,97.959,76.596,162.162,-73.077,237.5,205.714,5900,78.571,150.588,-1150
180.59,-92.453,200,-1800,-44.643,-119.643,106.667,-200,-17.308,44.318,180,45.455,-25.843,-56.522,-164.286,4450,-458.333,58.182,11.667,11.594,293.151,-23.457,104.348,-300,90.625,105.797,22.5,2533.333,50.943,313.333,906.25,8100,45.455,93.023,49.153,-325,875,177.551,140.678,371.429,-618.75,52.5,156.604,-84.375,353.333,163.158,-47.692,36.17,17.582,69.412,-38.095,-77.049,313.333,690.909,0,26.531,2.326,10.924,120,-124.49,400
180.8,119.853,-173.077,2750,476.923,-700,83.019,-143.243,-21.053,316.393,231.915,252.727,16.279,-157.143,10.714,11100,53.757,93.182,-280.952,165.217,133.333,-72.059,148,284.483,200,63.014,-6.667,73.118,516.667,-116.327,96.97,112.963,45,213.636,89.091,-15.493,42.424,23.077,120.455,162.5,177.273,-56.364,718.182,400,-212.121,-163.333,56.716,35.354,319.118,310.811,-1171.429,145.299,95.652,-169.444,584.615,-270,-52.212,66.351,-200,121.858,165.714
181.01,86.667,-28.571,160,-56.25,83.636,134.286,7.143,18.681,-181.395,-583.333,57.754,-28.814,53.797,117.778,18.085,152.326,143.548,53.488,88,11.765,-516.667,36.364,72.414,-45.238,560,4.255,45.57,525,25.882,82,29.167,-17.822,-156.818,2566.667,119.626,458.333,-246.429,60.577,10.843,385.714,-181.579,97.183,60.55,-50,100,916.667,-285.714,-600,-24.324,44.545,35.374,-46.154,77.778,83.544,32.558,-466.667,7.216,43.478,45.455,5433.333
181.22,344.118,-144.444,79.487,21.774,28.889,-27.473,-2850,47.059,-450,350,-668.75,69.767,540,114.679,-46.296,45.399,102.532,100,-41.538,46.739,223.077,107.407,-17.568,17.293,-50,100,-206.667,89.247,-48.101,-77.778,26.923,-188.889,-675,31.138,80.435,-32.143,160.465,-71.25,575.758,52.727,100,-38.462,-137.931,86.792,120.93,-5.983,134.532,87.5,266.667,72.678,-64.063,100,-11.594,51.429,104,178.75,-1687.5,21.277,29.412,167.308
181.43,90.909,225,-135.714,200,6.667,-235.294,-275,65.517,18.605,225.882,21.233,12200,600,81.609,110.667,-193.333,42.857,555.556,208.75,-92,163.043,-343.75,-72.727,241.026,45.324,70.339,-257.895,175.325,78.431,-68.116,1000,12.5,1450,168,-1900,121.951,20.87,139.394,-33.333,275.49,-82.692,-67.647,733.333,63.85,300,-166.667,-74.286,21.154,-41.558,123.077,-144.898,10.909,0,45.946,230.769,154.867,-7.018,28.947,94.828,-347.059
181.64,866.667,-3.704,11.538,-37.086,106.364,-9.494,159.016,-26.136,-195,157.377,12.598,550,14.634,387.5,-1185.714,35.057,492.593,26.667,-135.714,115.789,1.961,168.293,101.754,2.299,102.128,58.491,80.392,-340,-2300,-130.769,176.087,95.876,110,112.698,-12.632,-174.157,39.726,300,-91.304,-12.5,117.526,-11.864,19.863,-59.524,3.731,-48.98,27.273,78.862,204,146.552,1123.529,7.339,16.364,185.417,-1133.333,33.333,184,46.154,42.857,109.091
